0	1	2	3	4	5	6	sentence1	sentence2	label
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You have an ingenious, active and alert mind.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Gaining knowledge and putting it to good use are important to you.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You strive for perfection and can be quite the person to live with or to be around because your standards for yourself and others are so high.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	"At times others can never be ""good"" enough to meet those high standards."	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Finding fault with what's wrong with things is your forte.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Sometimes, though, this can make relationships sour as you often turn your critical eye on the one you love and the things they do.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Pessimism and being too self-critical are two faults you should try to improve upon.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You may tend to worry too much, especially about the small stuff, the little details.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Too much worry can lead to health problems.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You need to learn to digest every experience and assimilate it without bitterness, regret, spite or resentment.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You need to get rid of any negativity that stems from a feeling of inadequacy.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You tend to look younger than you really are, no matter what your age.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are very restless and nervous, so you seldom have much weight on you.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	At times you can be very indecisive and unsure.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	If you have the Moon in Cancer, you very easily respond to the emotional environment in which you are placed.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You soak up feelings like a sponge.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Perhaps this is why you so easily become moody, irritable and inconstant in thought and feeling.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Learning to control your own moods may be very difficult, yet necessary, for you.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Your greatest need is to nurture and mother someone or ones.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You often appear irrational to others because you can't always explain the reason or source of your feelings.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Anyone who lives with you must accept your ups and downs and appreciate your need for times of withdrawal.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are also very sympathetic and understand the unspoken feelings and needs of others.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You take slights very personally and though you may forgive a mistake by a friend or loved one, you never forget it.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Security is very important to you and you look for it in your home and family life.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Your senses and emotions are quite strong and it would be wise for you to listen to your intuitive side as you can be quite psychic.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are very tenacious and you do not give up or let go of things or people easily.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Your mother is/was a strong influence for good or ill in your life.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are basically an introvert, but will do whatever it takes to protect and defend your family or loved ones.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You tend to be a pack-rat because everything has an emotional memory behind it and you find security in all those memories.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Nothing or no one is ever gone if they leave their memory behind.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Thus, you can become quite possessive.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You have the memory of an elephant, but you must learn to forgive and forget past hurts.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	If you have Mercury in Gemini, you have an extremely adaptable, energetic, active, alert, curious, and versatile mind.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You seek knowledge, either through reading or conversation, or through travel and talking with the new people you constantly meet.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You have so much nervous energy that this can sometimes cause great stress which must find an appropriate release.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Exercise is a good way to release this tension.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are clever, witty, and always have a joke or comeback ready for any situation.	contradiction
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You love being involved in multiple things at once and this may be a problem – too may irons in the fire at the same time.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are quick to grasp new concepts and equally quick to lose interest in an idea or project once your curiosity has been satisfied.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You like to taste a little bit of everything – concentration and disciplined study are not your strong points.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	You are handy with your hands and may be ambidextrous or mechanically inclined.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	Debate and argument appeal to you.	entailment
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	There is a tendency to scratch the surface with the things that strike your interest without learning anything very deeply.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	This is the jack-of-all-trades, master-of-none position.	neutral
0	1	2	3	4	5	6	People with Virgo rising tend to be practical, analytical, discriminating, fastidious, careful, exacting, attentive to details, methodical, quiet, unassuming, shy, critical, thoughtful, and somewhat self-centered.	There is danger, then, of superficiality.	neutral
