,first_index,second_index,relation_score,first,second,dist
0,0,1,0.0,You never give up.,You never find it difficult to change your mind or course in mid-stream.,0.5
1,0,2,0.0,You never give up.,"Whatever you have set your sights on, you refuse to give up or let go of it.",0.5
2,0,3,0.0,You never give up.,You are patient unless someone takes you too far.,0.5
3,0,4,0.0079284872367475,You never give up.,You are usually slow to anger unless someone takes you too far.,0.4960357563816262
4,0,5,-0.4161453307671559,You never give up.,You are reliable.,0.7080726653835779
5,0,6,-0.34617452108896524,You never give up.,You are consistent.,0.6730872605444826
6,0,7,-0.13634766789699912,You never give up.,You can handle more of the workload than most around you.,0.5681738339484995
7,0,8,-0.4593032910832686,You never give up.,"You prefer a regular routine, defined responsibilities.",0.7296516455416343
8,0,9,-0.4593032910832686,You never give up.,"You prefer a regular routine, defined tasks.",0.7296516455416343
9,0,10,-0.18989686030414366,You never give up.,You enjoy building and seeing the results of your hard work.,0.5949484301520718
10,0,11,-0.13634766789699912,You never give up.,"Keeping things going is your strength, especially once someone else starts them.",0.5681738339484995
11,0,12,-0.4161453307671559,You never give up.,Money and possessions are important to you for the feelings of security they bring.,0.7080726653835779
12,0,13,-0.13634766789699912,You never give up.,You are handy with your hands.,0.5681738339484995
13,0,14,-0.3886353965177707,You never give up.,You may be ambidextrous or mechanically inclined.,0.6943176982588853
14,0,15,0.03738641920218447,You never give up.,Debate and argument appeal to you.,0.4813067903989078
15,0,16,-0.2020138855475802,You never give up.,You grasp concepts easily.,0.6010069427737901
16,0,17,-0.13634766789699912,You never give up.,You may become impatient with those who do n't learn as quickly.,0.5681738339484995
17,0,18,-0.3453956956776648,You never give up.,"You are very direct in thought, action, and speech and everyone knows how you feel.",0.6726978478388324
18,0,19,0.0016078785623010027,You never give up.,You are adventurous.,0.4991960607188495
19,0,20,-0.008003323185341055,You never give up.,You are courageous.,0.5040016615926706
20,0,21,-0.13634766789699912,You never give up.,You are independent.,0.5681738339484995
21,0,22,-0.03895786091486309,You never give up.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",0.5194789304574315
22,0,23,-0.05755945656783848,You never give up.,You have common sense to manage others.,0.5287797282839193
23,0,24,-0.04451028638562202,You never give up.,You have the ability to manage others.,0.522255143192811
24,0,25,-0.18989686030414366,You never give up.,You may be a bit of a perfectionist.,0.5949484301520718
25,0,26,-0.18989686030414366,You never give up.,Your mind is deep.,0.5949484301520718
26,0,27,-0.18989686030414366,You never give up.,Your mind is analytical.,0.5949484301520718
27,0,28,-0.05755945656783848,You never give up.,you probably have a good head for numbers.,0.5287797282839193
28,0,29,-0.18989686030414366,You never give up.,Your work is usually neat.,0.5949484301520718
29,0,30,-0.13634766789699912,You never give up.,Your work is usually orderly.,0.5681738339484995
30,0,31,-0.22929478120473978,You never give up.,you dislike messes.,0.61464739060237
31,0,32,0.020408978009656763,You never give up.,you dislike dirt.,0.4897955109951716
32,0,33,-0.14074954258204175,You never give up.,You tend to be idealistic.,0.5703747712910209
33,0,34,-0.4593032910832686,You never give up.,You tend to be optimistic.,0.7296516455416343
34,0,35,-0.4161453307671559,You never give up.,You tend to be dependable.,0.7080726653835779
35,0,36,-0.14074954258204175,You never give up.,You tend to be open-minded.,0.5703747712910209
36,0,37,0.0,You never give up.,You tend to be friendly.,0.5
37,0,38,-0.15278145949877997,You never give up.,You tend to be honest.,0.57639072974939
38,0,39,0.0,You never give up.,You tend to be versatile.,0.5
39,0,40,0.0,You never give up.,"You are usually outspoken, sometimes to the point of bluntness.",0.5
40,0,41,0.06818088837995481,You never give up.,You are quiet.,0.4659095558100226
41,0,42,0.002673302210739496,You never give up.,You are shy.,0.49866334889463027
42,0,43,-0.18989686030414366,You never give up.,You are sensitive.,0.5949484301520718
43,0,44,-0.032425510483298566,You never give up.,You are sentimental.,0.5162127552416493
44,0,45,-0.18989686030414366,You never give up.,You are gentle.,0.5949484301520718
45,0,46,-0.18293086890156113,You never give up.,You are romantic.,0.5914654344507806
46,1,2,0.0,You never find it difficult to change your mind or course in mid-stream.,"Whatever you have set your sights on, you refuse to give up or let go of it.",0.5
47,1,3,0.0,You never find it difficult to change your mind or course in mid-stream.,You are patient unless someone takes you too far.,0.5
48,1,4,0.0,You never find it difficult to change your mind or course in mid-stream.,You are usually slow to anger unless someone takes you too far.,0.5
49,1,5,0.0,You never find it difficult to change your mind or course in mid-stream.,You are reliable.,0.5
50,1,6,0.0,You never find it difficult to change your mind or course in mid-stream.,You are consistent.,0.5
51,1,7,0.0,You never find it difficult to change your mind or course in mid-stream.,You can handle more of the workload than most around you.,0.5
52,1,8,0.0,You never find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, defined responsibilities.",0.5
53,1,9,0.0,You never find it difficult to change your mind or course in mid-stream.,"You prefer a regular routine, defined tasks.",0.5
54,1,10,0.0,You never find it difficult to change your mind or course in mid-stream.,You enjoy building and seeing the results of your hard work.,0.5
55,1,11,0.0,You never find it difficult to change your mind or course in mid-stream.,"Keeping things going is your strength, especially once someone else starts them.",0.5
56,1,12,0.0,You never find it difficult to change your mind or course in mid-stream.,Money and possessions are important to you for the feelings of security they bring.,0.5
57,1,13,0.0,You never find it difficult to change your mind or course in mid-stream.,You are handy with your hands.,0.5
58,1,14,0.0,You never find it difficult to change your mind or course in mid-stream.,You may be ambidextrous or mechanically inclined.,0.5
59,1,15,0.0,You never find it difficult to change your mind or course in mid-stream.,Debate and argument appeal to you.,0.5
60,1,16,0.0,You never find it difficult to change your mind or course in mid-stream.,You grasp concepts easily.,0.5
61,1,17,0.0,You never find it difficult to change your mind or course in mid-stream.,You may become impatient with those who do n't learn as quickly.,0.5
62,1,18,0.0,You never find it difficult to change your mind or course in mid-stream.,"You are very direct in thought, action, and speech and everyone knows how you feel.",0.5
63,1,19,0.0,You never find it difficult to change your mind or course in mid-stream.,You are adventurous.,0.5
64,1,20,0.0,You never find it difficult to change your mind or course in mid-stream.,You are courageous.,0.5
65,1,21,0.0,You never find it difficult to change your mind or course in mid-stream.,You are independent.,0.5
66,1,22,0.0,You never find it difficult to change your mind or course in mid-stream.,"You tend to be industrious, efficient, practical, exacting, scientific, organized, shy, thrifty, studious, economical, and punctual.",0.5
67,1,23,0.0,You never find it difficult to change your mind or course in mid-stream.,You have common sense to manage others.,0.5
68,1,24,0.0,You never find it difficult to change your mind or course in mid-stream.,You have the ability to manage others.,0.5
69,1,25,0.0,You never find it difficult to change your mind or course in mid-stream.,You may be a bit of a perfectionist.,0.5
70,1,26,0.0,You never find it difficult to change your mind or course in mid-stream.,Your mind is deep.,0.5
